803239820-00;Athos Q Velit 
172699865-00;Alex H Heredia 
731252561-00;Alex R Costa
651669537-00;Guilherme S Santos
745299550-00;Luciano A Sathler
200340821-00;Mariana P Heredia 
778272502-00;Mariana M Guimarães
555137713-00;Alan K Sathler
588952507-00;Joao Victor B de Paula
382712316-00;Yuske X Cadar
349614323-00;Lucas W Vasconcelos
653264967-00;Filipe R Sathler
346829104-00;Mateus A Silvino 
283880854-00;Luiz Henrique Z Freire
121996452-00;Matheus Z Gabriel
194992984-00;Luiz Henrique H de Jesus
525830128-00;Luís Otávio X Abdalla
636231383-00;Ian F Sathler
560329042-00;Luiz Henrique R Silvino 
158255625-00;Ian X Pereira
177928195-00;Douglas Q Souza 
720215043-00;Yuske H Diniz
207683431-00;Guilherme Henrique V Duarte de Carvalho
334185950-00;Yuske S Diniz
618779241-00;Daniela I Velit 
860089047-00;Ítalo V Sathler
320577239-00;Nicole X de Paiva
644101212-00;Guilherme H Miranda
798541624-00;Guilherme O Gabriel
711330458-00;Ian P Maciel
837596554-00;Felipe I Gomes 
181219668-00;Breno I Gomes 
658626615-00;Bruno W Gomes 
669706874-00;Nicole V da Silva
798272072-00;Victor Hugo N Candido
322674936-00;Luís Otávio U de Jesus
469687174-00;Luiz Henrique Y de Castro 
243834914-00;Guilherme Henrique L Silvino 
609592861-00;Willian X Vasconcelos
678717781-00;Breno R Santos
243437435-00;Alex P Arruda
614888398-00;Rodrigo K da Silva
634993897-00;Willian J Costa
429238687-00;Rodrigo N Rodrigues 
845265700-00;Victor Henrique B Araujo
161013809-00;Alex P Gabriel
798064414-00;Isadora L Villani
461218660-00;Isadora U Heredia 
130618571-00;Ian X Duarte de Carvalho
651985019-00;Rodrigo Z Rodrigues 
409659662-00;Luciano G Barros
502968995-00;Willian K Pacheco 
208373743-00;Willian Q Costa
399692904-00;Rodrigo O Diniz
156321096-00;Vinicius C da Silva
775959827-00;Felipe K de Jesus
681870395-00;Norton Q Abdalla
584878218-00;Wernen W Souza 
770677874-00;Alex Z Gomes 
616319790-00;Douglas Y Santos
712135512-00;Willian B Santos
811018947-00;Luis Paulo M Sathler
744059908-00;Guilherme Henrique W de Jesus
262962595-00;Nicole S Oliveira
598429216-00;Daniela F da Silva
434961927-00;Felipe E Castilho 
290467806-00;Athos K Cadar
283214477-00;Caio K Furtado 
403327476-00;Marcus F Souza 
321682634-00;Alan M Santos
876344840-00;Marcus V Barbosa 
360286413-00;Victor Henrique M da Silva
211621741-00;Isadora N Abdalla
684430499-00;Breno Y Castilho 
644300970-00;Guilherme Y de Paiva
581882011-00;Yuske J Bertolini
194456294-00;Rodrigo Q Araujo
325953562-00;Ana Luiza B da Silva
631920414-00;Lucas W Barros
265334833-00;Guilherme Henrique W Abdalla
817132593-00;Breno D Abdalla
721120017-00;Luiz Henrique L Abdalla
194813110-00;Pedro T Oliveira
199572037-00;Luis Paulo O Sathler
506648102-00;Daniela E de Paiva
274274857-00;Victor Henrique C Rodrigues 
884684158-00;Matheus B de Jesus
615790863-00;Guilherme P Pereira
262497807-00;Felipe H Santos
134632435-00;Yuske X Vasconcelos
356768713-00;Rodrigo A Villani
719770372-00;Luis Paulo A Arruda
649376034-00;Ana Luiza U de Jesus
738786288-00;Caio G Silvino 
118160445-00;Victor Hugo O Gabriel
817813771-00;Marcus M Oliveira
427290414-00;Wernen D Sathler
478738297-00;Marcus R Heredia 
759488676-00;Marcus Z Costa
694093546-00;Luís Otávio L Maciel
218839904-00;Matheus D Villani
167619487-00;Ana Luiza P Santos
705660772-00;Willian Z Miranda
787716963-00;Isadora L Candido
767984417-00;Luís Otávio X Gabriel
150648209-00;Wernen X Miranda
285723242-00;Mariana W Araujo
191801318-00;Matheus N Gabriel
669158488-00;Filipe S Bertolini
278800690-00;Douglas U Santos
825703180-00;Athos N Massula
875056646-00;Luiz Henrique O Furtado 
188898476-00;Luis Paulo U Candido
436988831-00;Athos F Furtado 
224519170-00;Nicole R Abdalla
184942841-00;Luiz Henrique P Costa
252139999-00;Alan A Duarte de Carvalho
397695212-00;Pedro O Villani
638226999-00;Isadora O Gabriel
403113826-00;Victor Hugo I da Silva
321340542-00;Lucas O Barbosa 
690769341-00;Joao Victor Z Abdalla
534648548-00;Matheus A Pereira
125172767-00;Daniela C Magalhães
200575133-00;Alan S Araujo
822584022-00;Ana Luiza M Candido
496006711-00;Felipe L Cadar
310294177-00;Luís Otávio L Rodrigues 
728357211-00;Willian U Abdalla
567270318-00;Douglas H Araujo
533187212-00;Pedro G Oliveira
590210679-00;Ian R Arruda
266890769-00;Isadora Z Heredia 
334956200-00;Caio M Villani
748532570-00;Filipe E Oliveira
504273072-00;Victor Henrique X Heredia 
190709136-00;Norton E Massula
349367305-00;Caio C de Castro 
550550722-00;Douglas Z Castilho 
713188802-00;Matheus G da Silva
713550680-00;Joao Victor J Castilho 
585694315-00;Victor Henrique E Maciel
344367721-00;Yuske M de Paula
545901066-00;Isadora X Gomes 
256203838-00;Alan X Oliveira
201385903-00;Ian V Candido
395641282-00;Lucas H Castilho 
669426191-00;Filipe W Oliveira
370557460-00;Mariana E Gomes 
870226654-00;Mateus N Silvino 
864859703-00;Mariana U Souza 
207185504-00;Alan R Castilho 
721739665-00;Ian V Gomes 
191248028-00;Felipe Y Pereira
434219224-00;Filipe U Sathler
577915048-00;Ana Luiza X Maciel
819966372-00;Luis Paulo F de Paula
483359048-00;Nicole R Carvalho
756964529-00;Ian E de Paiva
619643168-00;Victor Hugo E Costa
708931787-00;Patryck X Cadar
308660209-00;Alexander B Villani
630327810-00;Vinicius R Santos
255901674-00;Joao Victor I Cadar
210090446-00;Daniela V Barros
687021615-00;Victor Hugo O de Paula
109129921-00;Victor Henrique M Vasconcelos
406644059-00;Pedro B Magalhães
414480488-00;Willian V Heredia 
181967600-00;Alan V Candido
258558161-00;Pedro Q Cadar
613420262-00;Yuske H Furtado 
332963098-00;Nicole P de Jesus
123269010-00;Victor Henrique B Santos
523710586-00;Athos O Abdalla
764585897-00;Norton M Sathler
226544634-00;Bruno N Furtado 
749918032-00;Alan G Pereira
202439208-00;Rodrigo M Duarte de Carvalho
662678112-00;Ian C Candido
381304720-00;Yuske R Furtado 
192328688-00;Isadora V Diniz
162822896-00;Victor Henrique M Costa
870792869-00;Rafael O Araujo
107547049-00;Alan H Pereira
247862401-00;Caio K Araujo
655967411-00;Mariana P Candido
814667974-00;Patryck G de Paiva
295520489-00;Willian S Heredia 
601539415-00;Mateus L Massula
782525296-00;Guilherme Y Magalhães
668807742-00;Vinicius A Pereira
387861489-00;Breno M Rodrigues 
225876055-00;Joao Victor U Bertolini
334159626-00;Luis Paulo U Vasconcelos
223856070-00;Isadora P Castilho 
651720456-00;Victor Henrique I Santos
412914096-00;Victor Hugo H Araujo
515805423-00;Yuske L Candido
504358076-00;Breno H Heredia 
110085021-00;Luís Otávio N de Paula
215249190-00;Marcus I Candido
442883355-00;Ana Luiza Q Castilho 
504967877-00;Lucas U Velit 
682208814-00;Rodrigo O de Castro 
310937511-00;Norton G Bertolini
188057788-00;Luiz Henrique Q de Paula
781862443-00;Luiz Henrique Y Santos
588777086-00;Victor Henrique D Carvalho
258613619-00;Vinicius A Gabriel
105063597-00;Alan T Gabriel
358684113-00;Athos J Vasconcelos
824709483-00;Caio N Massula
607563425-00;Vinicius K Heredia 
767999071-00;Guilherme Henrique Q Diniz
548822824-00;Wernen Q Velit 
325989087-00;Isadora F Diniz
465878958-00;Athos E Sathler
706110326-00;Rafael E Gomes 
122649691-00;Victor Henrique W Barbosa 
252412292-00;Victor Henrique F Duarte de Carvalho
176913447-00;Marcus V Massula
771212362-00;Wernen I Souza 
360954421-00;Luiz Henrique J Cadar
345775976-00;Luciano J Freire
399347286-00;Ana Luiza Q Sathler
676610758-00;Ian Y Magalhães
409063309-00;Douglas V de Paiva
455139030-00;Vinicius S Castilho 
419523369-00;Nicole X Barbosa 
880170141-00;Alex J Barbosa 
684488092-00;Patryck D Freire
777099170-00;Joao Victor U Villani
839928621-00;Willian W Bertolini
314503078-00;Rodrigo O Freire
469039891-00;Vinicius I Araujo
639886204-00;Ítalo L Abdalla
262393819-00;Mariana Q Cadar
654379742-00;Luis Paulo V Massula
591671764-00;Caio D Arruda
180333273-00;Douglas O Barros
133540341-00;Willian F Maciel
251779960-00;Ana Luiza L Santos
746727423-00;Athos O Araujo
301215748-00;Luís Otávio B Candido
828676461-00;Willian P Costa
294663690-00;Guilherme M Rodrigues 
380266220-00;Ítalo Z Araujo
313756335-00;Wernen X da Silva
446197107-00;Alan S Freire
237198677-00;Patryck L Abdalla
548804656-00;Alexander R Rodrigues 
278002781-00;Filipe A Souza 
535416200-00;Wernen W Costa
541878107-00;Filipe W Sathler
413468886-00;Alex K Bertolini
659269975-00;Ana Luiza N Cadar
670420916-00;Ana Luiza V Villani
761669168-00;Luciano P Furtado 
104823638-00;Joao Victor X Abdalla
513110119-00;Caio V Pereira
260858580-00;Luiz Henrique T Rodrigues 
651352975-00;Alex M Duarte de Carvalho
450251772-00;Rodrigo X Bertolini
728339611-00;Marcus R Guimarães
820939338-00;Daniela O Oliveira
120087422-00;Norton Q Diniz
160798973-00;Ian F Castilho 
182757331-00;Isadora D Cadar
276613176-00;Douglas F Castilho 
752548435-00;Victor Hugo N Gabriel
461996545-00;Luís Otávio R Barbosa 
607154976-00;Daniela Q Silvino 
531836037-00;Lucas X Araujo
383882926-00;Caio T Villani
771931218-00;Luciano X Freire
462012711-00;Alan H Souza 
319648395-00;Norton L Vasconcelos
845699325-00;Vinicius Z Guimarães
293299856-00;Patryck W Pacheco 
433181569-00;Rafael Q Araujo
845232320-00;Caio M Maciel
369190861-00;Luis Paulo M Candido
581051058-00;Filipe Y Freire
270192609-00;Lucas O Massula
480440325-00;Victor Henrique A Araujo
589233566-00;Victor Hugo J Pacheco 
304932175-00;Felipe L Bertolini
526426613-00;Marcus J Castilho 
592397620-00;Caio T Massula
349826998-00;Bruno B Magalhães
126062188-00;Caio P Guimarães
131090690-00;Alexander C Pacheco 
695125176-00;Marcus C Castilho 
584500983-00;Joao Victor J Candido
140716395-00;Rafael U Cadar
397420598-00;Ian J Freire
859896177-00;Douglas U Velit 
494428432-00;Luciano U Guimarães
256386742-00;Mateus M Barros
566708313-00;Victor Henrique R Pacheco 
462323894-00;Mariana I Pacheco 
633873048-00;Daniela Q Barbosa 
850362744-00;Daniela K Freire
558908898-00;Norton P Pereira
602211681-00;Willian J Candido
250888257-00;Guilherme Henrique Y Gabriel
625550346-00;Willian X Magalhães
669593647-00;Alan V Bertolini
289294995-00;Victor Hugo Q Freire
128536115-00;Ítalo I Cadar
627735925-00;Filipe K Massula
819724229-00;Vinicius K Rodrigues 
539813465-00;Rafael C Velit 
549587928-00;Caio W Velit 
198995273-00;Mariana S Vasconcelos
474556045-00;Isadora V Carvalho
388694274-00;Daniela T Diniz
333032981-00;Marcus C Pacheco 
726598225-00;Guilherme V Rodrigues 
145984997-00;Daniela A Massula
811343771-00;Marcus P Villani
711683948-00;Ítalo G Villani
889303815-00;Pedro Y Oliveira
796799335-00;Ian D Massula
721942419-00;Bruno N da Silva
512537664-00;Victor Henrique O de Paula
117433916-00;Wernen N Magalhães
514992457-00;Guilherme K Pacheco 
632111318-00;Filipe L Pacheco 
268368636-00;Daniela M Duarte de Carvalho
850201330-00;Daniela X Sathler
759456891-00;Breno X Santos
746749771-00;Alex S Gabriel
681671468-00;Joao Victor P Villani
319928663-00;Athos C Heredia 
191378681-00;Matheus T Villani
520584839-00;Mateus V Arruda
308754051-00;Victor Henrique O Candido
399541468-00;Patryck M Maciel
495194861-00;Douglas V Santos
184265204-00;Willian M da Silva
266957351-00;Isadora N Oliveira
242569257-00;Rodrigo J Abdalla
338122392-00;Guilherme Z Miranda
698655713-00;Guilherme Henrique P Barros
404605165-00;Patryck B Silvino 
106863862-00;Victor Hugo H Gabriel
105558605-00;Alexander P Abdalla
827138636-00;Daniela K Candido
279328270-00;Norton P Santos
450709311-00;Alex S Santos
626429570-00;Mateus M Duarte de Carvalho
452401436-00;Patryck A Barros
187563272-00;Joao Victor F Maciel
509696897-00;Pedro H Costa
303675374-00;Joao Victor C Abdalla
219627028-00;Rodrigo A Velit 
646671175-00;Luiz Henrique L Souza 
672299398-00;Patryck A Abdalla
752704949-00;Luciano F Magalhães
560020478-00;Wernen Q Heredia 
372341086-00;Alexander I Rodrigues 
611621170-00;Lucas E da Silva
819726968-00;Isadora P Velit 
586563906-00;Luís Otávio U Duarte de Carvalho
276230369-00;Victor Henrique F de Jesus
758606263-00;Marcus A de Jesus
806760171-00;Ian P Bertolini
279357627-00;Rodrigo F Duarte de Carvalho
784712730-00;Felipe R Candido
463747755-00;Victor Henrique R Guimarães
631170905-00;Breno O Candido
739991411-00;Ian I Freire
808751697-00;Alan A Furtado 
701091285-00;Nicole Y Duarte de Carvalho
327769876-00;Wernen K Gomes 
318004052-00;Alan G Cadar
311012542-00;Patryck V da Silva
818632411-00;Ian I Massula
565361931-00;Guilherme M Maciel
732389290-00;Matheus M de Jesus
710022043-00;Alan X Souza 
747998260-00;Ana Luiza N Velit 
874224962-00;Felipe U Santos
140842975-00;Rodrigo D de Paiva
138349615-00;Bruno U Velit 
472793728-00;Alan R Gomes 
632521326-00;Willian Z Costa
406630231-00;Vinicius M Gomes 
747806484-00;Breno T Bertolini
639055531-00;Filipe A Furtado 
203944452-00;Rodrigo K Santos
278791942-00;Breno U Carvalho
422518152-00;Pedro T Villani
524400644-00;Ana Luiza U de Paiva
525674001-00;Victor Hugo A Souza 
406844277-00;Athos F Candido
365043773-00;Bruno H Gabriel
343411527-00;Yuske X Villani
153077542-00;Guilherme F Guimarães
386033064-00;Vinicius Q de Castro 
865802692-00;Luís Otávio H de Castro 
393115427-00;Matheus U Candido
395229693-00;Ítalo D Vasconcelos
787355797-00;Ian T Maciel
243209110-00;Luís Otávio I Villani
211139381-00;Willian M Vasconcelos
193391468-00;Willian C Carvalho
589017656-00;Caio O Pereira
611483982-00;Yuske I Diniz
748493536-00;Wernen Z Souza 
789805015-00;Willian O Guimarães
555502800-00;Nicole Y Barros
879383842-00;Yuske B Duarte de Carvalho
493630759-00;Victor Hugo J Carvalho
682386564-00;Nicole K Heredia 
301657175-00;Ana Luiza K Barros
843798193-00;Luiz Henrique F Pacheco 
255049727-00;Willian P Oliveira
829837393-00;Bruno Q Castilho 
538035765-00;Norton F Candido
548432548-00;Marcus K Candido
692799598-00;Daniela D Duarte de Carvalho
320437269-00;Alexander Y Pacheco 
634915554-00;Joao Victor B Velit 
501453030-00;Felipe O Santos
113269719-00;Luciano G Bertolini
394021022-00;Marcus B Massula
673097784-00;Daniela M Barbosa 
162580165-00;Joao Victor Z Villani
840502400-00;Matheus L Villani
301911286-00;Ítalo I Araujo
218670767-00;Matheus H de Paula
670153373-00;Luiz Henrique W Barbosa 
878954426-00;Ian W Magalhães
782918582-00;Alan I de Paiva
469335758-00;Rodrigo U Miranda
527282691-00;Luis Paulo T de Jesus
517787751-00;Rafael V Pereira
509360109-00;Caio H de Jesus
349294850-00;Ítalo D Araujo
359840334-00;Ana Luiza V Bertolini
392885422-00;Alan J Rodrigues 
739479882-00;Bruno T Souza 
239318754-00;Caio J Oliveira
700103154-00;Mateus G de Paiva
229523613-00;Guilherme S Duarte de Carvalho
647877627-00;Yuske V Freire
828551765-00;Luís Otávio N Diniz
150886987-00;Yuske Q da Silva
174865080-00;Victor Hugo U Diniz
280572379-00;Ian Z Bertolini
582734180-00;Ian N Heredia 
348769289-00;Victor Henrique N Magalhães
412789367-00;Isadora Y Barbosa 
770815708-00;Norton J Araujo
831015185-00;Filipe L Guimarães
786357444-00;Vinicius B Duarte de Carvalho
140526333-00;Mateus G Pacheco 
100066646-00;Vinicius M Arruda
877894313-00;Alexander O Villani
329000072-00;Athos Z de Jesus
371882884-00;Bruno M Guimarães
130761055-00;Joao Victor L Vasconcelos
564413171-00;Victor Henrique Z Pacheco 
336632168-00;Guilherme Henrique R Freire
798921665-00;Luciano L Araujo
214270866-00;Luis Paulo K Castilho 
885451596-00;Luis Paulo J Silvino 
859982654-00;Rafael B Sathler
724078762-00;Marcus R Miranda
506516627-00;Marcus R Bertolini
465098813-00;Ian O Duarte de Carvalho
208847156-00;Breno B Santos
664620158-00;Luis Paulo C Silvino 
730795330-00;Alexander Z de Paiva
741612496-00;Lucas D de Jesus
865262749-00;Luiz Henrique O Heredia 
561104675-00;Alan Z Gabriel
391550386-00;Victor Henrique F Carvalho
458438897-00;Daniela C Diniz
626988315-00;Patryck H Sathler
802550868-00;Mariana F Maciel
420604830-00;Yuske W de Jesus
254848374-00;Filipe E Abdalla
132163306-00;Ítalo S Miranda
226403520-00;Lucas A Costa
681581049-00;Willian K da Silva
451908028-00;Pedro E Barros
637338853-00;Marcus M Castilho 
751094669-00;Ian X Villani
448539778-00;Ítalo F Duarte de Carvalho
119188799-00;Marcus K Furtado 
239411372-00;Caio E Gabriel
108622808-00;Luis Paulo H Costa
111823566-00;Filipe Z Villani
629132438-00;Marcus F de Paiva
473803655-00;Ítalo W de Paula
156538314-00;Daniela V Castilho 
114993552-00;Luciano R Miranda
607733588-00;Victor Hugo F Gomes 
741067244-00;Victor Hugo E Furtado 
867613514-00;Victor Hugo W Maciel
220929468-00;Yuske Q Freire
608549543-00;Yuske H Freire
711664944-00;Patryck T Oliveira
763061906-00;Luiz Henrique N de Paula
718727464-00;Victor Hugo U Duarte de Carvalho
864667119-00;Lucas W Barbosa 
694340956-00;Joao Victor I Pereira
634694570-00;Alexander A de Jesus
444483162-00;Alan K Barros
596227682-00;Yuske K Barros
371033609-00;Bruno Y Carvalho
845396641-00;Ian Q Maciel
446616419-00;Caio T Velit 
214635972-00;Marcus I Rodrigues 
869320482-00;Willian O Gabriel
638123551-00;Alexander J Pacheco 
215531655-00;Alexander H Carvalho
305672837-00;Lucas X Arruda
304150564-00;Mariana M Barros
347111428-00;Filipe V de Castro 
485148135-00;Victor Henrique Q Castilho 
153537798-00;Patryck I Abdalla
713068594-00;Alexander V Bertolini
703991225-00;Caio P Velit 
275022824-00;Norton V Sathler
715371854-00;Victor Henrique W Furtado 
496331886-00;Lucas J Villani
509327754-00;Luciano O Massula
820450300-00;Douglas O Maciel
707285696-00;Daniela J Bertolini
117565815-00;Felipe D Silvino 
277531395-00;Pedro Q Araujo
738426471-00;Filipe N Abdalla
323461498-00;Bruno Q Furtado 
133762832-00;Mateus K Duarte de Carvalho
811507622-00;Yuske V Duarte de Carvalho
620796955-00;Ítalo G Souza 
825071485-00;Caio P Pacheco 
674327078-00;Douglas H Sathler
248099569-00;Joao Victor I de Paula
745847421-00;Rodrigo N de Paiva
846040112-00;Willian Z Cadar
582496314-00;Victor Henrique X Duarte de Carvalho
628056401-00;Alex R Miranda
651938232-00;Ian O de Jesus
510557427-00;Alex J Pacheco 
752688526-00;Isadora U Costa
